hub_id	source_label	pointer_def	target_label	target_hub_id	target_hub_label	target_hub_status	resolved_def	resolved_def_quality	scheme_id	resolution_status
hub:007391	戦闘法規	↓交戦法規	交戦法規	hub:003636	交戦法規	canonical	戦時国際法のうち、交戦国相互の関係を規律する法規の総体。戦闘法規ともいい、戦争状態になくても敵対行為があれば適用される。交戦国と中立国との関係を規律する中立法規と対比される。	ok	yuhikaku_legal_dict	resolved
hub:012859	所属の職員	「所部の職員」	所部の職員	hub:012860	所部の職員	canonical	国又は地方公共団体の各機関にそれぞれ所属する職員を総称する用語である．用例としては，「行政庁は，所部の職員でその指定するものに………行政庁を当事者又は参加人とする訴訟を行わせることができる」（国の利害に関係のある訴訟についての法務大臣の権限等に関する法律5I），「海上保安庁長官は，国土交通大臣の指揮監督を受け，……所部の職員を指揮監督する」（海上保安庁法10Ⅱ）などがある。\n\nこの場合の「職員」という用語は，現在においては，原則として，事務官，技官，教官等いわゆる官吏のみならず雇傭人をも含むものとして用いられるが，職員及び雇傭人を区別して用いられていることもある（国立国会図書館法5Ⅰ．この場合の職員は，国会職員法1条に掲げる国会職員のうち雇傭人以外の者を意味するものと思われる。).\n\n「所属職員」（国立国会図書館法5I等）及び「所属の職員」（職業安定法6等）とほぼ同意義であるが，機関に対する所属関係を直接的に表す場合には,原則として,「所部の」ではなく「所属」又は「所属の」が用いられ（例「国税庁の所属職員」（財務省設置法26Ⅰ），「各省各庁所属の職員」（会計法4の2）等)，また	ok	hourei_yougo_jiten_11	resolved
hub:008745	手形学説	⇨手形理論	手形理論	hub:008781	手形理論	canonical	手形上の債務の発生原因を総合的に理論構成することを目的とする諸学説であり、各種の手形行為の本質論である。手形学説ともいう。その内容は複雑多岐にわたっているが、大別すれば、①手形上の義務は、手形の授受という形でされる契約によって発生する、との契約説、②手形上の義務は、債務を負おうとする者が手形に法定事項を記載するという単独行為によって発生する、という創造説、③手形上の義務は、手形への法定事項の記載と、その者の意思に基づいて占有を他に移転することによって発生する、という発行説の三説がある。	ok	yuhikaku_legal_dict	resolved
hub:008006	打撃の錯誤	→方法の錯誤	方法の錯誤	hub:011111	方法の錯誤	canonical	刑法上の概念で、犯人がＡを殺害する目的でＡに向けてピストルを発射したところ、近くにいたＢに命中してＢが死亡した場合のように、犯人が攻撃を加えた客体とは別の客体に結果が生じた場合。Ｂに対する殺人の故意が認められるかが問題となり、判例・通説はこれを認める。打撃の錯誤ともいう。	ok	yuhikaku_legal_dict	resolved
hub:009001	投資会社	↓証券投資会社	証券投資会社	hub:006177	証券投資会社	canonical	有価証券への投資、管理を行うことを目的とする会社。単に投資会社ともいわれる。	ok	yuhikaku_legal_dict	resolved
hub:000609	択捉島	→北方領土	北方領土	hub:011387	北方領土	canonical	広義では南樺太（からふと）及び千島列島、狭義では歯舞（はぼまい）、色丹（しこたん）、択捉（えとろふ）、国後（くなしり）の四つの島のこと。この四島は、第二次大戦以後ソ連の占領下にあり、その帰属をめぐる対立のため日ソ間では平和条約が結ばれず、日ソ共同宣言の後も、日本政府は、この四島は日本の固有の領土であるとしてソ連に対し返還要求を行ってきたが、近年は、我が国とロシアとの間において領土問題に関する交渉が続けられている。	ok	yuhikaku_legal_dict	resolved
hub:008406	抽象的証券	→無因証券	無因証券	hub:011604	無因証券	canonical	証券上の権利が証券発行の原因である法律関係の存否又はその有効か無効かに影響されない有価証券。抽象的証券、不要因証券ともいう。手形、小切手が無因証券の代表的な例。	ok	yuhikaku_legal_dict	resolved
hub:005006	持参人払証券	↓無記名証券	無記名証券	hub:013106	無記名証券	canonical	証券の正当な所持人が証券面に化体する権利の主体となる有価証券をいい証券上に権利者についての記載が全くないもののほか,証券の所持人（持参人）を権利者とする旨を記載してあるもの（持参人払証券）もこれに属する．法令上においては，例えば民法施行法57条において用いられている。\n無記名証券には，\n1. その化体する権利の種類によって債権証券（例えば，社債券，貨物引換証，商品券)，物権証券（我が国にはその制度はないが，例えば，土地負担証券）及び社員権証券（例えば，平成2年商法改正前の無記名株式）があり，また，\n2. 証券に化体する権利の内容が証券の記載文言によって定まるか否かによって文言証券（例えば，手形，小切手）とそうでないもの（例えば，平成2年商法改正前の無記名株式）とがある。\n無記名証券上の権利者は，証券の正当所持人であって，証券の単純な所持人ではない。ただ，後者は，一応権利者たる推定を受け，その者が権利者でないことを主張するには反証を挙げることを要する．所持人に弁済した善意の者は，その責めを免れ（民法478条)，証券の善意取得者は，証券上の権利者となる（商法519条,小切手法21条	ok	yuhikaku_legal_dict	resolved
hub:005006	持参人払証券	↓無記名証券	無記名証券	hub:011619	無記名証券	canonical	証券上に特定の権利者が表示されておらず、その所持人が権利者としての資格をもつ有価証券。持参人払証券、所持人払証券ともいう。所持人が権利者としての形式的資格を認められ、また、その譲渡、質入れは証券の交付だけで行われ、善意取得（民五二〇の二〇・五二〇の二五、小五⑧・二二）や抗弁の切断（民五二〇の二〇・五二〇の二六、小二二）も認められる。無記名式小切手などがこの例。	ok	yuhikaku_legal_dict	resolved
hub:005521	指名入札	↳指名競争入札	指名競争入札	hub:005513	指名競争入札	canonical	契約の性質又は目的により、競争に加わるべき者が少数で一般競争に付する必要がない場合、一般競争に付することが不利と認められる場合等に、例外的に入札者を指定して行う入札（会計二九の五、自治三三四①②）。指名入札ともいい、この方法によって締結される契約を指名競争契約という。	ok	yuhikaku_legal_dict	resolved
