case_name_normalized,court,date,distinct_case_names,hanrei_docket_count,verdict,hanrei_dockets
株主が会社法297条の規定によることなく訴訟,東京高判,令和3.9.29,2,0,unresolved_no_hanrei,
段ボールシート等価格カルテル事件,公取委,令和3.2.8,4,0,unresolved_no_hanrei,
海南特殊機械・竹村工業・松川建設事件,東京地判,昭和62.3.27,3,0,unresolved_no_hanrei,
熊本水俣病事件第1次訴訟,熊本地判,昭和48.3.20,2,0,unresolved_no_hanrei,
生活保護基準引下げ訴訟,最高三小判,令和7.6.27,2,0,unresolved_no_hanrei,
留置したことに対する国家賠償請求訴訟,最高二小判,平成8.3.8,2,4,SPLIT_confirmed,平成４年（オ）６７３号|平成４年（オ）７７号|平成４年（オ）７８号|平成７年（行ツ）７４号
痴漢の虚偽申告を理由とするXのYに対する損害賠償請求訴訟,最高二小判,平成20.11.7,2,0,unresolved_no_hanrei,
空気清浄機事件,東京高判,平成14.6.7,2,0,unresolved_no_hanrei,
第二次北国新聞社事件,東京高決,昭和32.3.18,2,0,unresolved_no_hanrei,
箕面市遺族会補助金等違憲訴訟,大阪地判,昭和63.10.14,2,0,unresolved_no_hanrei,
給付訴訟,最高三小判,平成23.2.15,2,1,MERGE_party_alias,平成２１年（受）６２７号
西武鉄道事件,東京地判,平成21.1.30,3,0,unresolved_no_hanrei,
貸金の支払を求める訴訟,最高二小判,令和1.7.5,2,2,SPLIT_confirmed,平成３０年（受）１３８７号|平成３１年（受）５１１号
関西国際空港新聞販売取引拒絶事件,大阪高判,平成17.7.5,2,0,unresolved_no_hanrei,
香港高等法院がした訴訟,最高三小判,平成10.4.28,2,3,SPLIT_confirmed,平成５年（行ツ）５３号|平成６年（オ）１８３８号|平成６年（オ）２３７８号
FOI事件,東京高判,平成30.3.23,2,0,unresolved_no_hanrei,
NTT西日本事件,大阪高判,平成21.11.27,2,0,unresolved_no_hanrei,
mail閲覧訴訟,東京地判,平成13.12.3,3,0,unresolved_no_hanrei,
だいにち堂事件,最高三小判,令和4.3.8,2,2,SPLIT_confirmed,令和２年（オ）１１９１号／令和２年（受）１４６４号|令和３年（行ツ）３３号
アメックス事件,最高一小判,平成5.12.16,2,0,unresolved_no_hanrei,
エス・ウント・エー事件,最高三小判,平成4.2.18,2,0,unresolved_no_hanrei,
ゴルフ会員権贈与事件,最高三小判,平成17.2.1,2,3,SPLIT_confirmed,平成１３年（行ヒ）２７６号|平成１４年（オ）１７４７号／平成１４年（受）１７７７号|平成１７年（し）７号
ジェイコム株誤発注事件,東京高判,平成25.7.24,3,0,unresolved_no_hanrei,
スティック形状加湿器事件,知財高判,平成28.11.30,3,0,unresolved_no_hanrei,
リソー教育事件,東京地判,平成30.3.29,2,0,unresolved_no_hanrei,
三菱重工長崎造船所事件,最高三小判,昭和61.12.16,3,3,SPLIT_confirmed,昭和５５年（行ツ）１４７号|昭和６０年（オ）４１号|昭和６１年（行ツ）７２号
任意的に訴訟,東京地判,平成7.10.3,3,0,unresolved_no_hanrei,
公益財団法人グリーントラストうつのみや事件,宇都宮地判,令和2.6.10,2,0,unresolved_no_hanrei,
内閣総理大臣の靖国神社公式参拝違憲訴訟,大阪地判,平成1.11.9,2,0,unresolved_no_hanrei,
助成金不交付事件,東京地判,令和3.6.21,2,0,unresolved_no_hanrei,
北海道新聞社事件,公取委,平成12.2.28,2,0,unresolved_no_hanrei,
北海道社会事業協会事件,札幌地判,令和1.9.17,2,0,unresolved_no_hanrei,
医療法人稲門会事件,大阪高判,平成26.7.18,2,0,unresolved_no_hanrei,
協同飼料株価操作事件,東京高判,昭和63.7.26,2,0,unresolved_no_hanrei,
固有必要的共同訴訟,名古屋高金沢支判,昭和63.10.31,2,0,unresolved_no_hanrei,
土佐あき農協事件,東京地判,平成31.3.28,2,0,unresolved_no_hanrei,
大阪府知事交際費訴訟,最高一小判,平成6.1.27,2,1,MERGE_party_alias,平成５年（ク）４４０号
大陸交通事件,東京地判,令和3.4.8,2,0,unresolved_no_hanrei,
富士美術印刷事件,東京高判,平成28.7.4,2,0,unresolved_no_hanrei,
岡山県南生コン協同組合事件,公取委,昭和56.2.18,3,0,unresolved_no_hanrei,
市立尼崎高校事件,神戸地判,平成4.3.13,2,0,unresolved_no_hanrei,
当該民間の調停の手続を経ずに提起された訴訟,東京高判,平成23.6.22,3,0,unresolved_no_hanrei,
戸籍法上の夫婦別姓訴訟,東京地判,平成31.3.25,3,0,unresolved_no_hanrei,
日債銀粉飾決算事件,東京高判,平成23.8.30,2,0,unresolved_no_hanrei,
日本IBM退職強要事件,東京地判,平成23.12.28,3,0,unresolved_no_hanrei,
日本保証マンション株主総会決議取消訴訟,東京地判,昭和61.3.31,2,0,unresolved_no_hanrei,
